ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
505,146,Tortosa,BaixEbre,26.12413877054166,18283.0,19925.0,23044.82,32342.62,47324.98,44390.08,1643.0,42926.27,165.61,0,0.0,435174851_0,-355426870_0,2
506,78,Tortosa,BaixEbre,12.162038216560502,18335.0,18648.0,22483.77,32645.84,20821.19,33865.19,314.0,3815.35,103.03,0,0.0,-223182912#8_0,119055086#0_0,2
509,159,Tortosa,BaixEbre,26.751408450704247,18489.0,20121.0,22548.73,32333.89,50112.8,45060.58,1633.0,43685.01,161.83,0,0.0,439915964#4_0,146852850#0_0,2
511,78,Tortosa,BaixEbre,17.529936305732495,18592.0,19376.0,22470.37,32645.69,29996.98,24723.58,785.0,13762.84,125.83,0,0.0,-195169029#1_0,150637254#3_0,2
517,57,Tortosa,BaixEbre,11.761225099601596,18900.0,19903.0,22535.95,32621.69,26291.82,26093.0,1004.0,11795.56,124.37,0,0.0,223121850#2_0,-47229067#0_0,2
521,119,Tortosa,BaixEbre,19.46914655172413,19106.0,20265.0,22483.83,32344.02,33667.26,24648.09,1160.0,22582.14,169.16,0,0.0,-195169023#11_0,146852857_0,2
522,70,Tortosa,BaixEbre,11.034967373572604,19158.0,20383.0,22540.88,32395.65,25066.47,26738.1,1226.0,13515.93,153.38,0,0.0,-251833496#3_0,146852850#2_0,2
527,142,Tortosa,BaixEbre,27.29466204506064,19415.0,20568.0,22536.57,32627.19,39431.57,22334.4,1154.0,31490.93,142.31,0,0.0,104849536#7_0,-130313082_0,2
529,124,Tortosa,BaixEbre,26.906581818181824,19518.0,20617.0,22424.22,32371.86,39273.91,22574.04,1100.0,29595.65,137.79,0,0.0,109585311#1_0,-560977621#14_0,2
530,55,Tortosa,BaixEbre,15.046174242424236,19569.0,19832.0,22483.82,32689.14,20340.65,32321.24,264.0,3954.66,52.75,0,0.0,-363594708#2_0,-103962834#1_0,2
532,147,Tortosa,BaixEbre,16.429543873212175,19672.0,22258.0,22969.3,32410.45,41061.25,24980.23,2587.0,42493.89,293.58,0,0.0,-25417320#0_0,-116357331#2_0,2
537,96,Tortosa,BaixEbre,12.34045454545454,19929.0,20302.0,22435.61,32574.15,20812.89,33884.26,374.0,4605.72,112.85,0,0.0,223182916#6_0,-150637254#1_0,2
540,91,Tortosa,BaixEbre,12.165264550264542,20083.0,20460.0,22548.73,32333.89,20809.54,33664.62,378.0,4593.32,123.31,0,0.0,223184444#2_0,146852850#0_0,2
541,104,Tortosa,BaixEbre,12.648423645320193,20135.0,20540.0,22571.83,32857.13,20721.94,33966.84,406.0,5121.46,118.92,0,0.0,-223184427#0_0,-103962834#3_0,2
543,223,Tortosa,BaixEbre,20.198210013291927,20238.0,22494.0,22844.31,32452.38,49170.19,22356.83,2257.0,45581.44,291.24,0,0.0,103488403#2_0,-561090100#3_0,2
544,109,Tortosa,BaixEbre,16.773595387840672,20289.0,21242.0,22959.72,32561.47,29999.29,24314.11,954.0,15993.21,161.35,0,0.0,-195168937#5_0,-561367695#0_0,2
